HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
-116.3195944000,-116.3195944001,-116.3195944001,-117.1331559684,-117.1331559684,-117.1331559683
-231.4895198292,-231.4895198292,-231.4895198292,-232.9653527845,-232.9653527846,-232.9653527846
-309.4539105537,-309.4539105537,-309.4539105537,-311.5197696745,-311.5197696745,-311.5197696744
-309.3200471177,-309.3200471178,-309.3200471176,-311.3725451010,-311.3725451005,-311.3725451009
-311.4528254503,-311.4528254503,-311.4528254503,-313.6626527414,-313.6626527413,-313.6626527412
-230.3060584978,-230.3060584979,-230.3060584978,-231.7360663760,-231.7360663762,-231.7360663759
-265.9697420865,-265.9697420865,-265.9697420865,-267.5335471939,-267.5335471940,-267.5335471938
-348.5056029983,-348.5056029981,-348.5056029982,-350.8420755431,-350.8420755423,-350.8420755430
-383.2066458681,-383.2066458685,-383.2066458679,-385.5716821015,-385.5716821014,-385.5716821013
-312.7020893623,-312.7020893623,-312.7020893623,-314.9515647819,-314.9515647816,-314.9515647818
-234.6459664698,-234.6459664700,-234.6459664699,-236.3234148775,-236.3234148776,-236.3234148776
-270.4343031539,-270.4343031539,-270.4343031539,-272.2194698546,-272.2194698545,-272.2194698544
-273.6670273605,-273.6670273605,-273.6670273605,-275.6385848360,-275.6385848358,-275.6385848360
-273.6449544223,-273.6449544224,-273.6449544224,-275.6222796467,-275.6222796467,-275.6222796467
-272.5560198443,-272.5560198442,-272.5560198443,-274.4671796293,-274.4671796295,-274.4671796291
-345.2905422165,-345.2905422166,-345.2905422165,-347.4415344734,-347.4415344733,-347.4415344733
-194.1520560332,-194.1520560333,-194.1520560331,-195.5444219085,-195.5444219086,-195.5444219084
-343.9734644649,-343.9734644648,-343.9734644646,-346.0787205521,-346.0787205522,-346.0787205520
-233.2243240037,-233.2243240037,-233.2243240037,-234.8926394472,-234.8926394462,-234.8926394471
-194.4585010433,-194.4585010435,-194.4585010434,-195.8273053506,-195.8273053506,-195.8273053505
-308.3218448163,-308.3218448162,-308.3218448161,-310.3369669608,-310.3369669609,-310.3369669608
-234.6203493100,-234.6203493099,-234.6203493099,-236.3173961895,-236.3173961923,-236.3173961921
-231.4636352273,-231.4636352273,-231.4636352273,-232.9403111098,-232.9403111100,-232.9403111099
-234.4661704203,-234.4661704211,-234.4661704207,-236.1796574511,-236.1796574515,-236.1796574513
-231.4025006453,-231.4025006453,-231.4025006451,-232.9069680845,-232.9069680845,-232.9069680843
-312.6451194544,-312.6451194544,-312.6451194544,-314.9034667961,-314.9034667959,-314.9034667961
-156.5610736434,-156.5610736434,-156.5610736432,-157.6829764224,-157.6829764223,-157.6829764223
-312.6786872261,-312.6786872261,-312.6786872261,-314.9343172976,-314.9343172978,-314.9343172980
-383.0652508302,-383.0652508302,-383.0652508300,-385.4747164368,-385.4747164369,-385.4747164369
-312.3902608440,-312.3902608441,-312.3902608439,-314.6582786494,-314.6582786488,-314.6582786493
-270.3994544420,-270.3994544419,-270.3994544419,-272.1793030083,-272.1793030079,-272.1793030080
-230.1208598744,-230.1208598744,-230.1208598744,-231.5571985812,-231.5571985812,-231.5571985811
-345.1842547618,-345.1842547620,-345.1842547618,-347.3443552577,-347.3443552577,-347.3443552576
-233.4407067933,-233.4407067935,-233.4407067934,-235.0841039940,-235.0841039948,-235.0841039951
-270.4358185214,-270.4358185215,-270.4358185215,-272.2017757551,-272.2017757551,-272.2017757552
-345.2358253715,-345.2358253715,-345.2358253714,-347.3870718211,-347.3870718213,-347.3870718211
-344.1720325564,-344.1720325564,-344.1720325563,-346.2667447048,-346.2667447044,-346.2667447045
-306.2122490231,-306.2122490228,-306.2122490232,-308.1140964214,-308.1140964215,-308.1140964214
-312.6385025981,-312.6385025982,-312.6385025979,-314.8964474643,-314.8964474640,-314.8964474641
-194.4381597390,-194.4381597391,-194.4381597391,-195.7923899546,-195.7923899545,-195.7923899542
-191.2458142420,-191.2458142420,-191.2458142420,-192.4397810214,-192.4397810214,-192.4397810213
-344.1715635754,-344.1715635765,-344.1715635766,-346.2588777563,-346.2588777562,-346.2588777560
-155.3151267865,-155.3151267865,-155.3151267866,-156.4134615154,-156.4134615154,-156.4134615153
-306.1832193264,-306.1832193264,-306.1832193264,-308.0585393457,-308.0585393457,-308.0585393455
-270.4188072727,-270.4188072726,-270.4188072727,-272.2055084680,-272.2055084680,-272.2055084681
-348.5445754042,-348.5445754055,-348.5445754053,-350.8598944580,-350.8598944575,-350.8598944581
-234.6548475743,-234.6548475743,-234.6548475742,-236.3286290858,-236.3286290857,-236.3286290858
-312.6822098015,-312.6822098021,-312.6822098012,-314.9278820748,-314.9278820749,-314.9278820748
-194.4488827793,-194.4488827793,-194.4488827792,-195.8185687946,-195.8185687946,-195.8185687944
-231.4479888397,-231.4479888398,-231.4479888394,-232.9457567178,-232.9457567178,-232.9457567176
-344.0028278056,-344.0028278058,-344.0028278054,-346.1276834668,-346.1276834670,-346.1276834668
