HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
27,24,19,16,16,16
20,22,20,17,18,17
16,17,16,15,16,15
17,20,16,16,15,15
27,28,24,21,21,19
23,26,22,17,18,17
37,31,28,19,21,19
15,15,15,15,14,14
16,19,16,15,16,14
14,15,14,13,13,12
15,16,15,15,17,15
18,19,18,16,16,15
14,15,14,13,13,12
14,15,14,14,14,13
15,15,15,15,16,15
21,23,21,17,17,16
16,19,15,14,15,13
21,21,20,19,20,18
16,16,15,14,13,13
20,21,17,16,17,15
23,24,21,19,19,18
16,16,15,13,16,14
23,24,21,19,20,19
16,20,16,13,14,13
16,17,15,16,16,15
15,16,15,14,14,13
16,19,15,16,16,15
14,15,14,13,14,13
23,24,22,18,20,18
15,16,15,15,14,14
16,16,15,15,14,14
36,34,31,36,36,31
27,30,23,19,20,19
19,23,18,17,18,17
16,17,16,16,17,16
28,29,25,20,21,20
19,20,18,16,16,15
37,36,32,19,21,19
15,18,14,14,14,13
17,19,17,17,17,16
26,26,23,17,17,16
15,15,15,15,16,14
17,17,17,15,16,14
17,18,17,15,16,15
15,15,15,14,15,14
19,26,18,18,18,17
16,17,15,16,16,15
14,18,14,14,15,14
18,19,17,16,17,15
16,19,15,15,15,15
20,24,19,19,20,19
17,20,16,15,15,14
21,26,20,17,18,16
16,17,16,16,16,15
25,23,21,17,16,16
19,19,17,16,17,15
25,24,24,14,15,13
36,37,33,23,24,21
33,25,22,19,19,17
27,27,25,21,20,19
68,36,36,23,24,24
16,19,16,17,18,17
14,15,14,13,13,12
23,25,23,23,23,22
25,26,24,22,21,20
15,16,15,13,14,12
33,29,26,25,25,23
19,20,18,18,18,18
30,31,27,18,19,18
27,33,25,44,46,37
32,30,30,19,20,20
25,28,23,19,19,17
34,32,27,17,18,17
33,26,23,18,18,17
17,18,17,18,19,16
17,17,16,16,17,16
15,16,15,14,14,13
21,24,22,17,18,17
22,25,21,16,16,15
23,22,20,17,18,16
14,15,14,12,14,13
14,15,14,13,14,13
30,34,28,21,21,19
17,16,15,15,17,15
27,21,18,17,18,16
96,75,67,34,33,32
18,19,17,15,16,15
45,45,42,70,70,69
21,34,29,14,13,13
15,16,15,15,13,14
17,19,17,15,15,14
15,15,15,15,15,14
16,17,16,14,15,14
24,26,23,17,17,16
15,16,15,16,17,14
16,19,16,15,14,14
21,22,21,17,18,16
15,20,16,16,17,16
18,19,17,15,16,15
20,24,19,17,19,17
24,25,22,20,21,20
62,33,31,17,19,17
20,26,21,20,19,17
15,18,14,14,14,13
30,35,45,31,30,23
25,27,21,18,19,17
16,17,16,16,16,15
15,15,14,14,14,13
21,23,20,17,18,17
19,20,18,15,16,15
15,15,15,14,13,13
35,40,34,21,21,20
22,26,21,18,18,16
55,32,30,20,21,20
14,14,14,14,15,13
30,30,25,17,18,16
16,17,16,15,16,15
18,18,17,17,18,16
16,17,16,18,18,18
23,24,22,19,19,18
15,15,15,13,14,13
23,36,25,18,19,18
17,17,16,16,16,15
16,16,16,17,17,16
16,17,15,15,15,14
16,17,16,17,17,16
41,33,29,21,21,19
15,15,14,15,15,14
35,35,31,27,27,25
15,16,15,16,16,16
38,28,25,18,19,18
15,19,15,13,13,12
15,16,15,14,15,14
24,25,22,19,20,17
39,27,23,21,21,19
15,16,15,16,16,16
15,16,15,15,16,14
19,19,18,18,19,17
15,16,15,15,16,15
16,20,16,14,15,14
14,17,14,13,14,12
16,16,15,16,17,16
15,18,14,13,13,12
15,15,14,14,13,14
16,16,16,15,16,14
28,26,21,20,21,19
17,21,17,14,15,14
39,34,31,30,33,37
29,31,24,17,19,17
30,38,34,26,29,28
32,31,28,31,32,30
16,19,15,15,16,15
16,16,15,17,16,17
30,30,27,20,21,20
16,17,16,15,16,15
15,16,15,14,16,14
15,15,15,15,15,15
15,16,15,14,14,13
17,18,17,16,17,15
14,15,14,14,15,13
21,21,19,19,20,20
16,17,16,17,17,15
17,17,16,17,18,17
48,33,26,17,19,17
15,18,15,15,15,15
30,33,27,26,26,25
14,15,14,17,17,15
32,28,24,16,17,16
15,16,15,15,16,14
16,17,16,14,14,13
53,34,31,23,24,23
18,18,16,15,17,15
24,25,22,17,17,16
15,16,15,15,16,14
15,19,15,13,16,12
25,26,23,18,18,17
21,24,19,18,17,17
25,27,24,20,20,19
13,14,13,12,13,12
27,22,21,18,19,17
24,25,22,19,18,17
18,19,17,17,18,16
15,16,15,15,14,14
19,19,17,17,18,16
14,15,14,13,13,12
15,16,15,13,15,13
14,15,14,13,13,12
25,29,23,17,17,16
28,25,20,16,16,15
33,42,35,30,38,33
16,18,16,15,16,14
15,16,15,13,14,12
