HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
-116.4787706103,-116.4787706103,-116.4787706103,-117.2653349060,-117.2653349060,-117.2653349059
-231.5429069903,-231.5429069908,-231.5429069906,-232.9995307937,-232.9995307935,-232.9995307936
-309.6122097476,-309.6122097482,-309.6122097472,-311.6245119852,-311.6245119852,-311.6245119851
-309.6096615231,-309.6096615232,-309.6096615231,-311.6327539616,-311.6327539617,-311.6327539617
-311.6626735997,-311.6626735998,-311.6626735997,-313.8401026873,-313.8401026873,-313.8401026873
-230.3896244988,-230.3896244988,-230.3896244989,-231.8129720510,-231.8129720511,-231.8129720509
-266.1739665630,-266.1739665652,-266.1739665644,-267.6626856299,-267.6626883330,-267.6626856288
-348.6392948955,-348.6392948956,-348.6392948955,-350.9382688917,-350.9382688913,-350.9382688916
-383.3397450060,-383.3397450060,-383.3397450060,-385.6764374343,-385.6764374345,-385.6764374344
-312.8199769397,-312.8199769397,-312.8199769395,-315.0368163442,-315.0368163442,-315.0368163442
-234.7229834268,-234.7229834278,-234.7229834259,-236.3821079714,-236.3821079714,-236.3821079712
-270.5771120228,-270.5771120227,-270.5771120227,-272.3119867952,-272.3119867952,-272.3119867952
-273.7816834332,-273.7816834332,-273.7816834330,-275.7229242945,-275.7229242946,-275.7229242945
-273.7864221205,-273.7864221204,-273.7864221205,-275.7281958100,-275.7281958100,-275.7281958100
-272.6239036025,-272.6239036024,-272.6239036025,-274.5245766799,-274.5245766792,-274.5245766798
-345.3706632904,-345.3706632888,-345.3706632889,-347.3614560215,-347.3614560250,-347.3614560150
-194.5521994618,-194.5521994619,-194.5521994619,-195.8985475418,-195.8985475418,-195.8985475417
-344.3030013629,-344.3030013629,-344.3030013629,-346.3621511991,-346.3621511993,-346.3621511992
-233.5951230547,-233.5951230548,-233.5951230548,-235.2183210985,-235.2183210985,-235.2183210985
-194.5226471983,-194.5226471982,-194.5226471982,-195.8656133732,-195.8656133732,-195.8656133732
-308.4611906904,-308.4611906904,-308.4611906904,-310.4389246422,-310.4389246422,-310.4389246421
-234.7514824607,-234.7514824608,-234.7514824607,-236.4139056116,-236.4139056117,-236.4139056116
