HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
13,13,12,12,13,11
68,44,57,46,25,24
41,42,45,30,22,21
13,16,13,12,13,12
13,14,13,12,13,11
21,22,20,19,20,18
21,26,22,18,49,18
13,16,13,13,13,12
14,14,14,14,16,14
13,13,12,12,13,11
14,16,13,14,14,13
43,45,55,29,24,23
13,13,12,12,13,11
13,13,13,12,12,11
13,13,13,13,12,12
63,79,91,185,138,130
13,16,13,11,12,11
14,14,14,14,16,14
13,16,13,11,12,11
18,19,17,13,14,13
20,22,20,19,20,19
12,13,12,12,13,11
46,33,40,25,20,19
12,13,12,12,12,11
107,55,64,30,27,26
13,13,13,12,12,11
20,19,17,12,12,11
13,13,12,11,12,12
14,15,14,15,16,14
13,16,13,12,12,12
13,14,13,13,13,12
32,34,40,23,23,22
15,16,15,14,14,13
20,19,17,14,15,14
14,15,13,13,13,13
19,21,19,14,15,14
19,17,16,14,16,14
28,28,25,19,20,20
13,13,12,12,12,11
13,14,13,12,14,11
17,18,17,16,16,15
14,14,14,14,16,14
13,14,13,11,12,11
19,20,19,13,13,13
15,15,14,12,13,12
14,14,13,14,15,13
12,13,12,12,12,11
13,13,12,12,12,11
18,19,17,13,14,13
13,14,13,13,14,13
14,14,13,13,15,13
13,14,13,11,12,11
19,21,19,14,13,13
12,13,12,12,12,11
14,14,14,14,16,14
13,13,12,13,13,12
19,19,17,12,13,12
25,26,25,21,22,19
47,27,24,21,21,21
25,25,22,20,21,19
19,23,19,17,18,17
12,12,12,14,16,14
13,13,12,12,12,11
19,45,32,15,16,14
18,40,33,15,15,14
13,13,12,12,12,11
107,61,55,28,29,28
18,19,17,14,14,13
15,16,15,14,15,13
15,16,15,14,15,14
27,31,26,19,20,19
19,40,32,15,16,14
21,22,20,17,18,17
20,22,20,17,18,17
20,25,23,15,16,14
14,23,19,13,13,12
13,16,13,11,12,11
20,22,20,18,18,18
15,16,15,13,13,13
17,17,16,14,14,14
13,13,12,12,13,11
12,13,12,11,11,11
16,17,16,15,15,14
13,13,12,11,12,11
13,16,13,13,13,13
35,35,32,42,58,54
13,13,13,13,14,12
15,16,15,14,14,14
14,20,14,13,13,12
14,14,13,15,15,14
25,62,62,21,57,38
14,14,13,14,15,13
13,13,12,13,11,12
17,18,17,14,15,14
13,14,13,14,15,14
13,13,13,12,13,12
13,13,13,13,13,12
13,13,12,13,13,12
13,16,13,13,13,12
17,18,16,17,17,16
14,14,13,13,15,13
22,22,20,18,19,18
13,13,13,12,13,12
13,13,13,12,13,12
27,28,23,24,23,30
29,31,27,29,27,26
40,34,57,32,24,23
13,13,12,12,12,11
13,13,12,13,13,12
14,14,14,14,16,14
13,16,13,11,12,11
26,28,25,19,20,20
14,17,14,14,16,14
16,17,16,15,17,14
13,16,13,13,13,12
21,22,20,17,18,16
13,14,13,14,13,14
18,22,17,13,14,14
14,20,20,13,13,13
21,22,20,19,20,19
13,13,12,12,13,11
19,19,17,14,16,15
19,19,17,13,14,13
13,16,13,14,16,14
13,13,13,13,13,12
13,16,13,13,13,12
21,22,20,19,20,19
13,14,13,13,13,13
59,49,39,35,34,32
12,13,12,12,12,11
38,309,38,122,222,134
12,13,12,11,11,11
13,13,12,13,13,12
14,14,14,14,16,14
16,16,16,37,34,38
12,13,12,13,14,13
13,13,13,13,13,12
17,19,17,12,13,12
13,16,13,13,13,12
12,12,12,11,12,11
13,14,13,13,13,12
21,22,17,13,14,13
13,16,13,11,12,11
13,13,13,13,13,12
13,13,12,12,13,12
14,14,14,15,14,13
14,14,13,12,13,11
32,32,29,16,26,16
13,14,13,12,13,12
13,16,13,13,13,13
19,24,19,15,15,14
13,16,13,13,14,12
13,13,12,14,14,13
21,22,20,19,20,18
74,39,53,21,21,20
13,14,13,13,14,13
13,16,13,12,13,12
13,13,12,12,13,11
