HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
-269.8213119937,-269.8213119937,-269.8213119937,-271.6018864310,-271.6018864309,-271.6018864310
-191.5952302822,-191.5952302822,-191.5952302822,-192.8499857924,-192.8499857924,-192.8499857924
-419.4707482045,-419.4707482045,-419.4707482045,-421.9832590638,-421.9832590636,-421.9832590637
-194.9160937767,-194.9160937767,-194.9160937766,-196.3512362641,-196.3512362635,-196.3512362641
-269.6111736308,-269.6111736309,-269.6111736309,-271.4148091352,-271.4148091353,-271.4148091352
-194.9116850293,-194.9116850293,-194.9116850293,-196.3074067228,-196.3074067226,-196.3074067227
-232.7330395634,-232.7330395634,-232.7330395634,-234.3839258750,-234.3839258750,-234.3839258751
-348.9076091066,-348.9076091067,-348.9076091067,-351.2961277107,-351.2961277108,-351.2961277108
-270.9539625999,-270.9539625999,-270.9539625999,-272.7732082927,-272.7732082927,-272.7732082926
-269.8945540068,-269.8945540068,-269.8945540067,-271.6686687440,-271.6686687427,-271.6686687440
-154.5895978483,-154.5895978483,-154.5895978483,-155.6927469791,-155.6927469743,-155.6927469790
-268.5456650471,-268.5456650472,-268.5456650471,-270.2835860786,-270.2835860786,-270.2835860785
-229.5760527079,-229.5760527080,-229.5760527080,-231.0551147410,-231.0551147415,-231.0551147414
-230.6857441275,-230.6857441276,-230.6857441276,-232.2055655034,-232.2055655034,-232.2055655031
-231.7863390515,-231.7863390515,-231.7863390515,-233.3372064647,-233.3372064641,-233.3372064645
-230.8510279687,-230.8510279687,-230.8510279687,-232.3535518385,-232.3535518377,-232.3535518383
-344.6589455171,-344.6589455171,-344.6589455171,-346.8000859918,-346.8000859696,-346.8000859917
-269.8684969075,-269.8684969075,-269.8684969075,-271.6251434029,-271.6251434030,-271.6251434030
-383.7607532238,-383.7607532239,-383.7607532238,-386.1550156085,-386.1550156062,-386.1550156085
-309.9942002827,-309.9942002828,-309.9942002827,-312.0924804924,-312.0924804911,-312.0924804925
-309.8844004180,-309.8844004179,-309.8844004180,-311.9936922873,-311.9936922831,-311.9936922872
-348.8908937879,-348.8908937879,-348.8908937879,-351.2794016584,-351.2794016584,-351.2794016584
-194.8440894622,-194.8440894622,-194.8440894622,-196.2785574634,-196.2785574638,-196.2785574638
-380.3539643024,-380.3539643024,-380.3539643023,-382.6357695836,-382.6357695826,-382.6357695833
-269.6843028226,-269.6843028227,-269.6843028226,-271.4094699519,-271.4968432805,-271.4968432805
-347.8207290521,-347.8207290520,-347.8207290520,-350.1689369652,-350.1689369655,-350.1689369654
-309.8419030088,-309.8419030088,-309.8419030088,-311.9545442670,-311.9545442668,-311.9545442669
-348.8990043440,-348.8990043440,-348.8990043440,-351.2877221257,-351.2877221245,-351.2877221257
-272.9744842414,-272.9744842414,-272.9744842414,-274.9552558816,-274.9552558816,-274.9552558819
-344.6587674825,-344.6587674825,-344.6587674825,-346.8145664679,-346.8145664680,-346.8145664679
-349.0128328977,-349.0128328978,-349.0128328976,-351.3904140157,-351.3904140157,-351.3904140157
-383.7641264214,-383.7641264214,-383.7641264214,-386.1742056663,-386.1742056663,-386.1742056664
-380.4546647512,-380.4546647511,-380.4546647510,-382.6975281630,-382.6975281631,-382.6975281631
-308.7105937302,-308.7105937295,-308.7105937291,-310.7790487221,-310.7790487224,-310.7790487222
-190.4853813930,-190.4853813933,-190.4853813931,-191.6816752267,-191.6816752267,-191.6816752266
-266.7023566235,-266.7023566235,-266.7023566234,-268.2814402442,-268.2814402444,-268.2814402443
-348.9091653591,-348.9091653591,-348.9091653591,-351.2979195726,-351.2979195726,-351.2979195725
-155.8878090200,-155.8878090201,-155.8878090201,-157.0341388682,-157.0341388682,-157.0341388682
-344.5234889981,-344.5234889981,-344.5234889980,-346.6797654238,-346.6797654237,-346.6797654234
-194.8511355276,-194.8511355276,-194.8511355276,-196.2755580843,-196.2755580842,-196.2755580842
-383.5081351876,-383.5081351878,-383.5081351875,-385.9813705986,-385.9813705994,-385.9813705993
-349.0899656975,-349.0899656975,-349.0899656975,-351.4713679353,-351.4713679353,-351.4713679352
-268.4970960217,-268.4970960217,-268.4970960217,-270.2513774866,-270.2513774822,-270.2513774870
-271.0237980523,-271.0237980524,-271.0237980523,-272.8470106084,-272.8470106084,-272.8470106084
-383.7960962030,-383.7960962029,-383.7960962030,-386.2049603233,-386.2049603226,-386.2049603233
-191.7136778421,-191.7136778422,-191.7136778420,-192.9357994539,-192.9357994539,-192.9357994540
-233.9034004671,-233.9034004671,-233.9034004671,-235.6054119739,-235.6054119378,-235.6054119738
-344.6627677519,-344.6627677519,-344.6627677519,-346.8045684597,-346.8045684596,-346.8045684597
-419.5734168740,-419.5734168739,-419.5734168740,-422.0777542444,-422.0777542444,-422.0777542442
-312.0482218237,-312.0482218236,-312.0482218236,-314.2743951907,-314.2743951907,-314.2743951907
-194.8340322451,-194.8340322450,-194.8340322451,-196.2715666662,-196.2715666662,-196.2715666660
-348.8793363344,-348.8793363344,-348.8793363344,-351.2034715304,-351.2034715305,-351.2034715223
-344.7252694531,-344.7252694531,-344.7252694531,-346.8420172236,-346.8420172203,-346.8420172236
-193.7892846384,-193.7892846383,-193.7892846383,-195.1668939573,-195.1668939575,-195.1668939574
-349.0483381252,-349.0483381251,-349.0483381252,-351.4185075101,-351.4185075102,-351.4185075102
-348.9193135044,-348.9193135044,-348.9193135043,-351.3062070152,-351.3062070150,-351.3062070151
-305.7220651738,-305.7220651738,-305.7220651738,-307.5772681359,-307.5772681355,-307.5772681358
-309.9676513237,-309.9676513237,-309.9676513238,-312.0682889901,-312.0682889901,-312.0682889901
-380.3543177303,-380.3543177305,-380.3543177305,-382.5928640753,-382.5928640752,-382.5928640750
-191.7136159492,-191.7136159492,-191.7136159490,-192.9357268705,-192.9357268705,-192.9357268706
-229.4953558008,-229.4953558008,-229.4953558008,-230.9457646867,-230.9457646864,-230.9457646868
-269.6758717255,-269.6758717255,-269.6758717254,-271.4706453639,-271.4706453638,-271.4706453637
-154.6845527077,-154.6845527076,-154.6845527077,-155.7870283219,-155.7870283207,-155.7870283218
-268.4802588183,-268.4802588183,-268.4802588183,-270.2246534857,-270.2246534859,-270.2246534858
-230.7317647532,-230.7317647532,-230.7317647532,-232.2365155701,-232.2365155700,-232.2365155698
-155.8879687518,-155.8879687518,-155.8879687518,-157.0344677662,-157.0344677662,-157.0344677662
-155.7929176013,-155.7929176013,-155.7929176013,-156.9407628168,-156.9407628166,-156.9407628168
-349.0435558164,-349.0435558163,-349.0435558164,-351.4128303368,-351.4128303367,-351.4128303367
-311.9736479150,-311.9736479150,-311.9736479150,-314.2387366471,-314.2387366471,-314.2387366471
-344.7055087030,-344.7055087030,-344.7055087031,-346.8495134655,-346.8495134656,-346.8495134655
-348.9950123515,-348.9950123515,-348.9950123515,-351.3625673813,-351.3625673826,-351.3625673826
-154.7143976685,-154.7143976684,-154.7143976685,-155.7964670432,-155.7964670425,-155.7964670432
-271.0224833951,-271.0224833951,-271.0224833951,-272.8460338492,-272.8460338492,-272.8460338492
-348.8862093418,-348.8862093418,-348.8862093418,-351.2751421162,-351.2751421162,-351.2751421164
-194.8568082650,-194.8820251244,-194.8820251244,-196.3075591516,-196.3101562439,-196.3101562439
-305.6992829504,-305.6992829503,-305.6992829504,-307.5533125945,-307.5533125944,-307.5533125944
-272.8549569125,-272.8549569124,-272.8549569125,-274.8426608831,-274.8426608830,-274.8426608830
-268.5233406796,-268.5233406797,-268.5233406795,-270.2844849697,-270.2844849704,-270.2844849701
-344.5074060795,-344.5074060794,-344.5074060795,-346.6577523313,-346.6577523165,-346.6577523311
