HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
14,14,13,14,16,13
21,21,19,19,22,18
16,16,15,16,16,14
17,18,17,30,31,27
14,15,14,16,18,15
14,15,14,14,14,13
14,15,14,15,16,15
14,15,14,15,17,15
14,14,14,17,17,15
14,14,13,14,14,13
14,15,14,17,16,16
14,17,14,16,18,15
16,17,16,16,19,16
16,17,16,17,18,15
15,16,15,15,14,13
14,17,14,14,14,12
15,15,15,16,15,15
15,15,15,14,15,14
14,15,14,15,14,14
14,15,14,14,14,14
15,15,15,16,15,15
15,16,15,18,17,15
14,17,14,13,16,13
34,26,27,22,22,21
16,19,16,24,46,38
18,18,17,18,18,15
15,16,15,16,15,14
15,15,14,15,15,14
13,13,12,14,15,14
14,14,14,15,18,15
14,14,13,15,23,14
16,16,15,17,18,16
16,16,15,19,22,19
27,28,24,19,24,18
17,18,16,20,20,19
14,14,13,17,25,16
15,16,15,17,18,16
14,15,14,17,17,16
32,26,25,18,20,17
14,14,13,13,14,12
23,27,22,21,25,23
15,15,14,13,16,12
16,16,16,16,16,16
14,15,14,13,15,12
14,14,14,16,16,15
14,17,13,14,16,14
13,14,13,15,13,14
16,17,16,17,18,17
15,15,15,18,19,17
15,15,14,14,15,13
14,14,14,13,20,12
15,16,15,41,44,38
14,15,14,15,14,14
13,13,13,13,16,13
13,13,13,14,16,13
15,15,14,16,15,14
14,14,14,16,16,15
14,14,14,15,17,15
16,17,16,22,22,21
14,17,13,14,16,14
13,16,13,14,15,13
15,15,14,16,16,13
18,18,18,15,14,14
15,16,15,14,19,14
16,17,16,17,18,17
14,15,14,17,17,16
13,14,13,14,15,14
13,13,13,14,15,13
12,12,12,15,17,14
14,14,14,15,18,14
16,16,16,15,16,16
18,18,17,17,17,17
14,15,14,13,15,12
15,16,15,29,56,35
32,19,18,24,33,20
16,15,15,16,16,15
19,19,19,17,18,16
17,20,16,17,19,17
22,22,21,18,14,16
17,17,16,17,17,16
15,15,15,15,16,14
15,15,15,16,15,15
14,14,14,14,14,14
15,15,14,13,15,13
14,14,14,15,14,13
15,15,15,19,20,19
13,14,13,14,15,13
15,16,15,16,16,15
13,13,13,13,18,13
14,15,14,15,16,14
14,15,14,17,17,16
15,16,14,16,18,15
14,17,14,15,16,14
15,15,14,15,16,14
17,17,16,17,18,16
14,17,14,18,16,15
14,14,14,16,17,16
19,19,18,17,18,17
15,15,15,15,15,14
15,15,15,16,15,14
16,17,16,15,17,15
16,16,16,17,20,16
14,17,14,13,16,13
21,21,20,18,20,18
15,16,15,18,17,15
18,19,17,15,16,15
16,16,15,17,19,16
15,15,15,22,20,18
18,18,18,22,18,17
15,15,15,15,16,14
16,16,15,17,21,17
13,14,13,15,13,14
13,13,12,14,16,13
14,14,14,14,17,13
15,15,14,15,18,15
14,14,14,15,17,14
32,25,25,18,20,18
16,16,15,15,15,14
16,16,15,15,18,15
20,24,19,18,22,18
14,15,14,15,14,14
