HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
-270.0331610675,-270.0331610675,-270.0331610675,-271.7767650330,-271.7767650330,-271.7767650330
-191.8310259197,-191.8310259196,-191.8310259197,-193.0035775958,-193.0035775958,-193.0035775958
-419.6602843020,-419.6602843020,-419.6602843020,-422.1348283824,-422.1348283814,-422.1348283824
-195.1549554571,-195.1549554571,-195.1549554571,-196.5368140509,-196.5368140509,-196.5368140509
-269.9955946180,-269.9955946180,-269.9955946180,-271.7378915165,-271.7378915165,-271.7378915165
-195.0425196469,-195.0425196470,-195.0425196470,-196.4099996586,-196.4099996586,-196.4099996587
-232.9323718545,-232.9323718545,-232.9323718545,-234.5395054369,-234.5395054367,-234.5395054369
-349.2604094884,-349.2604094884,-349.2604094884,-351.5992121055,-351.5992121054,-351.5992121055
-271.1983956735,-271.1983956735,-271.1983956735,-272.9815991737,-272.9815991737,-272.9815991737
-270.0386493147,-270.0386493146,-270.0386493147,-271.7781560499,-271.7781560499,-271.7781560499
-154.9292142465,-154.9292142465,-154.9292142465,-155.9922602591,-155.9922602589,-155.9922602591
-268.7794547857,-268.7794547857,-268.7794547857,-270.4786030474,-270.4786030474,-270.4786030474
-229.8033180206,-229.8033180207,-229.8033180206,-231.2304982440,-231.2304982441,-231.2304982441
-230.9886884696,-230.9886884696,-230.9886884696,-232.4549281328,-232.4549281328,-232.4549281328
-232.1631893218,-232.1631893218,-232.1631893218,-233.6688049172,-233.6688049172,-233.6688049172
-231.0013088603,-231.0013088604,-231.0013088602,-232.4639258987,-232.4639258987,-232.4639258989
-344.9342582448,-344.9342582447,-344.9342582447,-347.0329844741,-347.0329844745,-347.0329844744
-269.9577619279,-269.9577619280,-269.9577619280,-271.6926423029,-271.6926422979,-271.6926423029
-383.8898483069,-383.8898483069,-383.8898483069,-386.2632614310,-386.2632614300,-386.2632614309
-310.2346242415,-310.2346242415,-310.2346242415,-312.2950515716,-312.2950515716,-312.2950515716
-310.2340093838,-310.2340093838,-310.2340093838,-312.2943130788,-312.2943130787,-312.2943130788
-349.2520139287,-349.2520139287,-349.2520139287,-351.5922829055,-351.5922829056,-351.5922829055
-195.1750591611,-195.1750591610,-195.1750591611,-196.5589847984,-196.5589847984,-196.5589847984
-380.6214955139,-380.6214955139,-380.6214955138,-382.8177776311,-382.8177776297,-382.8177776311
-270.0356794116,-270.0356794116,-270.0356794116,-271.7760374488,-271.7760374485,-271.7760374488
-348.1129916135,-348.1129916137,-348.1129916135,-350.4067342599,-350.4067342597,-350.4067342599
-310.2287898232,-310.2287898232,-310.2287898231,-312.2903663106,-312.2903663105,-312.2903663106
-349.2604066555,-349.2604066555,-349.2604066555,-351.5992118820,-351.5992118819,-351.5992118820
-273.2136511789,-273.2136511789,-273.2136511789,-275.1542699117,-275.1542699117,-275.1542699117
-344.8795380745,-344.8795380745,-344.8795380745,-346.9846577499,-346.9846577500,-346.9846577499
-349.2688939743,-349.2688939743,-349.2688939743,-351.6074545943,-351.6074545943,-351.6074545943
-383.9703963099,-383.9703963099,-383.9703963099,-386.3461565527,-386.3461565527,-386.3461565526
-380.6214857807,-380.6214857807,-380.6214857806,-382.8177722516,-382.8177722502,-382.8177722516
-309.0721256909,-309.0721256909,-309.0721256909,-311.0893969730,-311.0893969730,-311.0893969731
-190.7753008185,-190.7753008185,-190.7753008185,-191.9194504032,-191.9194504032,-191.9194504031
-266.8461733535,-266.8461733535,-266.8461733535,-268.3926033059,-268.3926033059,-268.3926033058
-349.2672500705,-349.2672500705,-349.2672500705,-351.6058557421,-351.6058557421,-351.6058557421
-156.1054768432,-156.1054768433,-156.1054768432,-157.2138731980,-157.2138731980,-157.2138731980
-344.8381185665,-344.8381185665,-344.8381185665,-346.9383919684,-346.9383919676,-346.9383919684
-195.1750586386,-195.1750586386,-195.1750586386,-196.5589848713,-196.5589848714,-196.5589848713
-383.9717546243,-383.9717546243,-383.9717546243,-386.3478521450,-386.3478521453,-386.3478521452
-349.2664039726,-349.2664039726,-349.2664039726,-351.6052628135,-351.6052628136,-351.6052628136
-268.8505075426,-268.8505075426,-268.8505075427,-270.5539104234,-270.5539104234,-270.5539104233
-271.1936782432,-271.1936782432,-271.1936782432,-272.9783837502,-272.9783837502,-272.9783837502
-383.9543009364,-383.9543009364,-383.9543009364,-386.3320474407,-386.3320474408,-386.3320474408
-191.9171830132,-191.9171830132,-191.9171830132,-193.1087213670,-193.1087213671,-193.1087213671
-234.2225779251,-234.2225779251,-234.2225779251,-235.8829624614,-235.8829624614,-235.8829624614
-344.9342725384,-344.9342725384,-344.9342725384,-347.0329944713,-347.0329944717,-347.0329944716
-419.6602586931,-419.6602586932,-419.6602586932,-422.1369345440,-422.1369345440,-422.1369345439
-312.1492891077,-312.1492891078,-312.1492891078,-314.3482179028,-314.3482179033,-314.3482179037
-195.1750554902,-195.1750554901,-195.1750554902,-196.5589580049,-196.5589580050,-196.5589580050
-349.2658781680,-349.2658781680,-349.2658781680,-351.6046853909,-351.6046853908,-351.6046853909
-344.8543056724,-344.8543056723,-344.8543056722,-346.9505603606,-346.9505603597,-346.9505603606
-193.9910531552,-193.9910531552,-193.9910531552,-195.3320020026,-195.3320020027,-195.3320020027
-349.2648083818,-349.2648083818,-349.2648083818,-351.6040289115,-351.6040289115,-351.6040289116
-349.2695931661,-349.2695931660,-349.2695931661,-351.6071437521,-351.6071437521,-351.6071437521
-305.8833715039,-305.8833715039,-305.8833715039,-307.7067139069,-307.7067139069,-307.7067139068
-310.2246674191,-310.2246674191,-310.2246674191,-312.2864144584,-312.2864144584,-312.2864144585
-380.6228363544,-380.6228363544,-380.6228363543,-382.8195503533,-382.8195503516,-382.8195503533
-191.9171830103,-191.9171830103,-191.9171830103,-193.1087213674,-193.1087213675,-193.1087213675
-229.7095230188,-229.7095230187,-229.7095230189,-231.1234937681,-231.1234937731,-231.1234937730
-270.0331736466,-270.0331736466,-270.0331736466,-271.7767705751,-271.7767705751,-271.7767705751
-154.9104783932,-154.9104783931,-154.9104783932,-155.9771572678,-155.9771572624,-155.9771572682
-268.8505064541,-268.8505064541,-268.8505064541,-270.5539095298,-270.5539095298,-270.5539095297
-230.9994416623,-230.9994416622,-230.9994416623,-232.4620961063,-232.4620961062,-232.4620961063
-156.1054763981,-156.1054763981,-156.1054763981,-157.2138724474,-157.2138724474,-157.2138724474
-156.1054717087,-156.1054717087,-156.1054717087,-157.2138687088,-157.2138687088,-157.2138687088
-349.2604071229,-349.2604071229,-349.2604071229,-351.5992070775,-351.5992070774,-351.5992070775
-312.2844619538,-312.2844619538,-312.2844619538,-314.5005985333,-314.5005985331,-314.5005985333
-344.9342634150,-344.9342634149,-344.9342634150,-347.0329877219,-347.0329877223,-347.0329877222
-349.2622897586,-349.2622897586,-349.2622897586,-351.6014768654,-351.6014768653,-351.6014768654
-154.9292145763,-154.9292145763,-154.9292145763,-155.9922596175,-155.9922596173,-155.9922596175
-271.1988591818,-271.1988591818,-271.1988591818,-272.9816726845,-272.9816726845,-272.9816726845
-349.2648138182,-349.2648138182,-349.2648138182,-351.6040330758,-351.6040330758,-351.6040330759
-195.1588931699,-195.1588931699,-195.1588931699,-196.5416098290,-196.5416098281,-196.5416098289
-305.8964775733,-305.8964775733,-305.8964775733,-307.7187395924,-307.7187395928,-307.7187395927
-273.2255168637,-273.2255168637,-273.2255168637,-275.1615639662,-275.1615639662,-275.1615639662
-268.8505072587,-268.8505072587,-268.8505072587,-270.5539123030,-270.5539123030,-270.5539123029
-344.9342622004,-344.9342622004,-344.9342622004,-347.0329868863,-347.0329868867,-347.0329868867
-229.8033214472,-229.8033214473,-229.8033214472,-231.2304981792,-231.2304981793,-231.2304981793
-305.8972723416,-305.8972723415,-305.8972723415,-307.7188945989,-307.7188945993,-307.7188945992
-310.2293304542,-310.2293304542,-310.2293304542,-312.2913128631,-312.2913128630,-312.2913128631
-310.2206535152,-310.2206535152,-310.2206535152,-312.2838649680,-312.2838649680,-312.2838649680
-234.2225767485,-234.2225767485,-234.2225767485,-235.8829608686,-235.8829608686,-235.8829608686
-233.0250680596,-233.0250680596,-233.0250680596,-234.6448268515,-234.6448268518,-234.6448268518
-229.8033288949,-229.8033288950,-229.8033288949,-231.2305036046,-231.2305036047,-231.2305036047
-349.2689038387,-349.2689038387,-349.2689038387,-351.6074614951,-351.6074614951,-351.6074614952
-154.9104832833,-154.9104832833,-154.9104832833,-155.9771601634,-155.9771601635,-155.9771601638
-234.2225748404,-234.2225748404,-234.2225748404,-235.8829435594,-235.8829435594,-235.8829435594
-190.7161060489,-190.7161060489,-190.7161060489,-191.8717503418,-191.8717503418,-191.8717503418
-156.1054774302,-156.1054774302,-156.1054774302,-157.2138699376,-157.2138699376,-157.2138699376
-271.1891922606,-271.1891922606,-271.1891922606,-272.9736960357,-272.9736960358,-272.9736960357
-229.8033222780,-229.8033222781,-229.8033222781,-231.2305001788,-231.2305001789,-231.2305001789
-383.9389862023,-383.9389862023,-383.9389862023,-386.3169618027,-386.3169618023,-386.3169618037
-344.9342611534,-344.9342611534,-344.9342611534,-347.0329879369,-347.0329879373,-347.0329879372
-383.9465604040,-383.9465604040,-383.9465604041,-386.3257151869,-386.3257151869,-386.3257151869
-266.7935334732,-266.7935334732,-266.7935334732,-268.3445775227,-268.3445775221,-268.3445775228
-349.2648103881,-349.2648103881,-349.2648103881,-351.6040313159,-351.6040313159,-351.6040313160
-349.2572534815,-349.2572534815,-349.2572534815,-351.5963942664,-351.5963942663,-351.5963942664
-273.2255242034,-273.2255242034,-273.2255242034,-275.1615686009,-275.1615686009,-275.1615686008
-266.8403451710,-266.8403451711,-266.8403451710,-268.3657694320,-268.3657694320,-268.3657694320
-302.5421360821,-302.5421360821,-302.5421360821,-304.1827601085,-304.1827601082,-304.1827601085
-195.1750590112,-195.1750590112,-195.1750590112,-196.5589827357,-196.5589827357,-196.5589827357
-380.6235114776,-380.6235114776,-380.6235114775,-382.8201887705,-382.8201887689,-382.8201887705
-310.2339959357,-310.2339959357,-310.2339959357,-312.2943047655,-312.2943047655,-312.2943047655
-349.2604117444,-349.2604117444,-349.2604117444,-351.5992160046,-351.5992160045,-351.5992160046
-305.8840668497,-305.8840668496,-305.8840668497,-307.7070147805,-307.7070147804,-307.7070147803
-344.9342616513,-344.9342616513,-344.9342616513,-347.0329864383,-347.0329864387,-347.0329864386
-268.7372456643,-268.7372456643,-268.7372456643,-270.4334674881,-270.4334674881,-270.4334674881
-233.0361368165,-233.0361368165,-233.0361368165,-234.6538016666,-234.6538016666,-234.6538016665
-383.9681541145,-383.9681541145,-383.9681541145,-386.3456328956,-386.3456328960,-386.3456328960
-234.2225784244,-234.2225784244,-234.2225784244,-235.8829524636,-235.8829524636,-235.8829524636
-234.2225738980,-234.2225738980,-234.2225738980,-235.8829890211,-235.8829890211,-235.8829890211
-348.1114238029,-348.1114238031,-348.1114238029,-350.4063125237,-350.4063125237,-350.4063125237
-349.2604109200,-349.2604109200,-349.2604109200,-351.5992145456,-351.5992145456,-351.5992145457
-270.0222504455,-270.0222504455,-270.0222504455,-271.7658489175,-271.7658489175,-271.7658489174
-383.8788635305,-383.8788635305,-383.8788635304,-386.2565118282,-386.2565118269,-386.2565118282
-117.0819920967,-117.0819920967,-117.0819920967,-117.9097322130,-117.9097322136,-117.9097322135
-344.9342604960,-344.9342604960,-344.9342604960,-347.0329857022,-347.0329857026,-347.0329857025
-191.8310296434,-191.8310296432,-191.8310296434,-193.0035911359,-193.0035911360,-193.0035911360
-193.9910534407,-193.9910534407,-193.9910534407,-195.3320010718,-195.3320010507,-195.3320010718
-156.1054768813,-156.1054768813,-156.1054768812,-157.2138727059,-157.2138727059,-157.2138727059
-312.2611001604,-312.2611001604,-312.2611001605,-314.4743516038,-314.4743516038,-314.4743516038
-310.2293278673,-310.2293278673,-310.2293278673,-312.2913122359,-312.2913122359,-312.2913122359
-308.9932137512,-308.9932137512,-308.9932137512,-311.0052769851,-311.0052769851,-311.0052769851
-380.6235233930,-380.6235233930,-380.6235233930,-382.8201943617,-382.8201943600,-382.8201943616
-383.9703917294,-383.9703917293,-383.9703917293,-386.3461534749,-386.3461534749,-386.3461534748
-154.0905253278,-154.0905253278,-154.0905253278,-155.0419843269,-155.0419843268,-155.0419843269
-229.8126659160,-229.8126659159,-229.8126659160,-231.2381358159,-231.2381358159,-231.2381358159
-195.1750604558,-195.1750604558,-195.1750604558,-196.5589663937,-196.5589663937,-196.5589663937
-195.1750607542,-195.1750607542,-195.1750607542,-196.5589767266,-196.5589767267,-196.5589767266
-193.9910538233,-193.9910538233,-193.9910538233,-195.3320007612,-195.3320007613,-195.3320007613
-383.9681572187,-383.9681572188,-383.9681572187,-386.3456338427,-386.3456338431,-386.3456338430
-310.2246616716,-310.2246616716,-310.2246616716,-312.2864117068,-312.2864117067,-312.2864117068
-193.9910538847,-193.9910538847,-193.9910538847,-195.3320012402,-195.3320012185,-195.3320012402
-344.9188691231,-344.9188691231,-344.9188691231,-347.0195432828,-347.0195432828,-347.0195432827
-230.9886832437,-230.9886832437,-230.9886832437,-232.4549261669,-232.4549261669,-232.4549261668
-156.1187747603,-156.1187747603,-156.1187747603,-157.2233432914,-157.2233432914,-157.2233432914
-348.1095177298,-348.1095177301,-348.1095177299,-350.4039019552,-350.4039019549,-350.4039019552
-270.0331661657,-270.0331661657,-270.0331661657,-271.7767643242,-271.7767643242,-271.7767643242
-268.8505108761,-268.8505108761,-268.8505108761,-270.5539137038,-270.5539137038,-270.5539137038
