HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
11,11,11,12,15,12
13,13,13,12,13,12
14,14,14,14,14,13
11,11,11,13,14,13
11,11,11,14,15,13
13,14,13,12,13,12
12,13,12,12,12,12
11,11,11,12,13,11
10,13,10,12,13,11
13,13,13,12,14,12
11,11,11,12,12,11
12,13,12,14,14,13
11,12,11,13,15,13
11,11,11,12,13,11
10,13,10,12,13,11
13,16,12,14,15,13
12,12,12,13,16,13
12,13,12,13,12,12
12,12,12,15,14,13
10,10,10,12,13,11
10,10,10,12,13,11
11,11,11,12,14,11
9,9,9,9,12,9
14,14,13,14,14,13
13,13,13,14,15,13
12,15,12,14,15,13
11,11,11,12,13,12
11,11,11,12,13,11
10,10,10,11,12,10
11,11,11,13,18,12
11,11,11,12,13,12
12,12,12,14,16,13
14,14,13,14,14,13
13,13,13,12,14,12
13,13,12,14,15,13
12,12,12,14,16,13
11,11,11,12,13,11
9,10,9,9,9,9
11,11,11,13,13,12
9,9,9,9,12,9
12,12,12,13,16,13
11,11,11,12,14,12
11,11,11,13,15,12
11,11,11,12,15,11
12,12,12,13,16,13
11,11,11,11,16,11
9,9,9,10,10,10
12,12,12,13,16,13
14,14,14,15,17,14
13,14,13,11,12,12
9,9,9,9,12,9
11,11,11,12,13,12
12,12,11,14,14,13
10,10,10,10,24,10
11,11,11,12,13,12
10,10,10,12,13,11
12,12,12,14,16,13
11,11,11,12,13,11
14,14,13,14,14,13
11,11,11,11,15,11
13,13,13,12,14,12
11,11,11,12,15,12
10,10,10,10,10,10
11,11,11,13,15,12
13,13,13,15,15,13
9,10,9,9,9,9
9,10,9,9,9,9
11,11,11,12,13,11
10,10,10,11,11,10
12,12,12,13,16,13
11,11,11,12,13,12
11,11,11,12,12,11
10,10,10,12,13,11
11,11,11,12,13,12
10,10,10,11,12,10
12,12,12,13,16,13
11,11,11,14,15,13
11,11,11,13,15,12
12,12,12,13,16,13
11,12,11,13,15,13
12,12,12,13,16,13
11,11,11,12,13,11
11,11,11,12,13,12
9,9,9,10,10,10
10,10,10,10,22,11
11,12,11,13,15,13
11,11,11,12,13,12
10,10,10,10,12,10
9,9,9,10,10,10
13,13,12,14,15,13
9,10,9,9,9,9
11,11,11,12,15,11
11,12,11,13,15,13
11,11,11,12,13,12
12,12,12,13,16,13
12,12,12,14,16,14
11,11,11,13,13,12
11,11,11,12,13,12
11,11,11,12,13,11
11,11,11,14,15,13
11,14,11,13,15,12
13,13,13,13,14,12
9,9,9,9,12,9
14,14,13,14,14,13
10,10,10,12,13,11
11,11,11,12,13,11
12,12,12,14,16,13
12,12,12,13,16,13
13,13,13,14,15,13
10,10,10,10,23,10
12,15,12,13,16,13
9,9,9,10,10,10
9,9,9,10,10,10
12,15,12,14,16,13
