HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
19,19,19,23,36,24
21,21,21,24,31,24
18,19,19,29,30,28
18,18,18,25,30,25
20,20,19,25,27,25
19,19,19,20,22,19
19,19,19,23,29,23
19,19,20,21,24,21
19,19,19,22,25,22
19,20,19,30,34,28
24,26,25,35,41,31
24,24,24,26,29,25
24,26,26,32,33,26
25,25,25,27,34,25
24,26,25,32,36,29
24,26,25,31,36,29
19,20,19,26,29,25
25,25,25,29,29,27
25,26,25,29,27,26
26,26,25,26,32,24
18,18,17,26,26,26
24,26,25,32,34,29
25,26,25,25,28,23
25,26,25,27,33,26
25,25,25,28,30,25
25,25,25,30,30,25
24,24,24,32,35,30
24,26,25,31,41,30
24,26,25,29,36,28
25,26,25,27,32,26
25,26,25,25,38,23
25,26,25,27,30,25
25,25,25,29,29,27
32,33,32,29,39,27
23,26,23,27,32,26
22,23,22,30,34,28
21,23,21,25,29,24
47,70,67,45,38,34
21,22,21,29,34,28
22,25,22,26,30,25
24,25,24,30,36,28
22,23,22,28,34,28
22,23,23,30,40,27
23,24,24,29,32,27
21,21,21,25,30,25
22,23,22,28,40,27
26,29,25,30,36,28
22,23,22,25,35,25
20,21,20,25,29,25
21,21,21,26,31,25
21,22,21,29,39,28
22,22,21,29,34,28
21,21,21,28,31,27
22,23,22,28,32,26
23,23,23,30,41,29
29,33,29,33,35,31
26,27,26,31,35,26
22,22,22,29,32,28
30,31,31,30,35,29
28,32,28,30,33,29
30,34,30,33,37,32
21,22,21,24,27,24
29,33,30,31,33,29
30,31,29,33,34,33
21,21,21,23,25,23
22,109,85,32,31,29
21,22,21,25,37,25
28,29,27,30,32,28
25,26,24,31,33,28
21,22,21,27,28,26
30,33,29,31,38,31
35,113,92,38,39,31
27,31,27,30,33,28
52,52,51,38,33,30
31,29,29,31,36,30
27,28,27,33,37,32
26,27,26,27,33,26
23,23,22,37,45,40
26,27,25,27,31,28
90,120,90,29,61,44
24,27,23,33,66,52
55,75,60,28,31,30
39,76,67,46,52,41
24,25,24,30,36,29
30,30,28,34,35,31
26,27,26,29,33,27
24,25,24,25,27,25
31,31,28,32,33,29
25,25,24,30,37,29
38,79,86,42,56,50
35,35,33,33,40,30
29,33,29,27,30,26
27,26,24,27,31,25
25,25,25,32,32,29
21,21,21,26,34,26
22,20,19,22,25,23
15,16,15,20,25,16
15,15,15,17,20,16
15,15,14,20,19,15
15,15,15,20,19,15
16,16,16,18,21,15
15,15,14,17,19,16
14,15,14,16,29,15
12,12,12,15,15,14
13,14,13,17,18,15
14,14,14,17,16,15
18,18,17,20,23,16
17,17,17,17,19,17
19,19,18,19,20,18
16,17,16,17,18,15
19,19,18,25,27,20
13,14,13,17,20,17
15,15,14,17,23,16
14,14,13,16,24,15
17,21,17,20,24,17
13,13,13,15,17,14
14,14,14,18,19,15
14,15,14,18,22,17
17,18,17,20,22,17
17,18,17,16,21,15
16,16,15,17,19,17
17,17,16,20,22,16
16,16,16,18,22,16
15,16,15,19,23,18
37,35,34,36,37,33
15,15,14,16,22,15
74,67,53,24,29,24
15,15,15,18,22,16
26,28,26,23,35,23
23,25,23,21,24,21
23,25,23,23,35,33
21,21,20,30,38,28
26,29,25,23,26,20
18,18,18,20,25,18
16,16,15,18,29,16
17,17,17,19,28,16
17,18,17,20,39,19
16,16,16,19,22,18
17,17,16,20,22,18
16,16,16,18,22,16
24,25,22,19,24,18
21,22,20,20,29,19
17,18,17,21,26,20
33,35,29,31,23,31
27,26,26,21,24,21
22,27,22,20,24,18
14,15,14,17,23,15
18,18,17,28,21,20
14,14,13,20,23,17
14,14,14,20,24,18
26,28,29,24,19,20
14,15,14,19,27,16
18,19,18,25,22,22
16,17,16,20,27,18
27,26,24,26,28,20
16,16,16,19,16,17
15,16,15,16,22,15
14,15,14,16,22,15
16,16,16,18,23,17
16,16,16,18,22,17
19,21,19,21,20,20
20,20,18,19,21,18
18,20,18,22,21,15
15,15,14,17,37,15
26,29,25,399,27,30
27,25,23,19,25,18
19,19,19,22,24,20
16,17,16,20,20,19
14,15,14,16,23,16
15,15,15,20,30,19
21,21,21,23,21,21
16,16,16,17,26,16
23,25,22,25,23,22
23,25,22,20,25,19
16,16,15,18,29,16
16,16,16,18,32,16
16,17,16,18,24,16
24,25,22,20,26,18
18,19,18,27,32,21
19,23,20,20,41,17
22,21,20,29,21,20
14,15,14,16,27,15
21,25,21,23,21,19
16,16,15,17,24,16
15,16,15,17,22,16
20,20,19,20,60,20
38,37,34,36,29,43
21,21,20,22,26,21
19,22,19,19,21,19
15,15,15,16,34,15
20,21,20,24,21,30
16,17,16,19,26,16
15,16,15,17,29,16
19,19,18,18,24,17
16,17,16,20,21,19
16,17,15,18,30,16
22,23,22,21,24,21
16,17,16,19,20,18
15,16,15,17,19,16
15,15,14,16,22,16
19,19,19,19,23,18
16,17,16,19,20,16
19,22,18,18,53,16
21,24,21,25,25,20
20,21,20,22,28,21
20,21,20,21,24,21
19,20,19,18,27,17
21,25,22,26,24,21
16,17,16,18,23,17
19,20,18,19,24,18
34,34,33,34,34,38
16,16,15,17,29,16
21,22,21,399,27,28
19,20,19,24,20,22
20,24,21,23,29,21
21,23,22,18,28,18
22,22,20,19,37,20
16,19,16,18,30,16
25,26,25,24,25,34
21,21,21,399,20,23
16,16,16,22,21,18
21,22,19,19,25,20
20,23,20,17,27,17
21,22,22,21,27,23
25,26,25,21,22,20
16,17,16,23,33,17
16,17,16,22,29,16
16,17,16,19,25,17
24,28,24,32,25,23
16,17,16,23,34,17
24,25,24,22,22,21
24,27,23,22,25,19
16,17,16,16,28,15
21,24,19,21,31,20
16,16,15,25,24,16
17,21,17,19,19,18
19,20,19,18,24,17
19,20,18,17,21,15
23,24,22,21,21,20
18,18,17,20,23,17
20,23,20,17,18,17
18,21,17,20,28,18
18,18,17,20,28,17
25,29,24,20,21,20
24,26,24,21,24,20
16,16,16,16,25,16
28,31,26,21,22,21
24,25,24,22,29,21
15,15,15,18,28,16
23,21,20,23,23,34
24,25,24,21,25,20
18,21,17,20,27,18
16,16,16,20,28,16
20,24,21,22,52,19
29,31,29,30,17,24
26,30,26,399,22,34
15,16,14,19,29,16
22,25,22,18,24,17
32,90,77,26,23,25
23,23,22,21,28,20
17,18,16,23,22,16
21,25,22,30,27,23
