HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
-2879.8217289184,-2879.8217289184,-2879.8217289172,-2886.5136174094,-2886.5136174050,-2886.5136174073
-6148.1474977562,-6148.1639652287,-6148.1639652286,-6155.5226670063,-6155.5226670062,-6155.5226670058
-3388.8487709107,-3388.8686977346,-3388.8686977407,-3395.0728361574,-3395.0728361574,-3395.0728361565
-16850.3697879463,-16850.3717135964,-16850.3717135967,-16863.3124065655,-16863.3124065655,-16863.3124065518
-2889.0650626505,-2889.0650626532,-2889.0650626480,-2894.3814268674,-2894.3814268673,-2894.3814268665
-5669.9780142066,-5669.9780142059,-5669.9780142045,-5676.4229124828,-5676.4229124833,-5676.4229124828
-17609.7556585386,-17609.7749327801,-17609.7749327822,-17620.3834146286,-17620.3834146285,-17620.3834146282
-6132.3673920545,-6132.3855205861,-6132.3855205889,-6139.6666444521,-6139.6710921208,-6139.6710921192
-17609.7751983621,-17609.7751983603,-17609.7751983607,-17620.3835732455,-17620.3835732456,-17620.3835732423
-3421.6862011461,-3421.6862011462,-3421.6862011463,-3427.2886039704,-3428.1630116908,-3428.1630116904
-1794.3166385045,-1794.3168962555,-1794.3168962524,-1800.1067711519,-1800.1067711515,-1800.1067711501
-1993.0219997946,-1993.0219997950,-1993.0219997943,-1998.3099196452,-1998.3099196457,-1998.3099196454
-1719.2754383824,-1719.2894823702,-1719.2894823670,-1724.8054569953,-1724.8054569956,-1724.8054569945
-1719.2760940492,-1719.2899670002,-1719.2899669989,-1724.8059086498,-1724.8059089731,-1724.8059973348
-1794.3169240361,-1794.3171787752,-1794.3171787807,-1800.1068659209,-1800.1068659206,-1800.1068659199
-1794.3167407528,-1794.3169959165,-1794.3169961373,-1800.1067011619,-1800.1067011618,-1800.1067011618
-5983.0803151184,-5983.0995601706,-5983.0995601724,-5990.2520906727,-5990.2520906732,-5990.2520906713
-1719.2761312627,-1719.2900026043,-1719.2900025999,-1724.8060255819,-1724.8060255820,-1724.8060255811
-1719.2761992680,-1719.2900449124,-1719.2900449136,-1724.8059967854,-1724.8060260983,-1724.8060260911
-1719.2749420273,-1719.2891253954,-1719.2891253955,-1724.8050113583,-1724.8050113585,-1724.8050113578
-6236.8018550059,-6236.8228549209,-6236.8228549197,-6243.3924155827,-6243.3924155828,-6243.3924155819
-1794.3167853167,-1794.3170421218,-1794.3170421203,-1800.1068336694,-1800.1068336702,-1800.1068336682
-1719.2761532246,-1719.2900282069,-1719.2900282061,-1724.8060070201,-1724.8060070090,-1724.8060070193
-1719.2900508524,-1719.2900508500,-1719.2900508533,-1724.8051123748,-1724.8060500281,-1724.8060500276
-1719.2761368133,-1719.2900001549,-1719.2900001549,-1724.8060340492,-1724.8060011239,-1724.8060340482
-1719.2760448702,-1719.2899256000,-1719.2899256006,-1722.4489583466,-1724.8059753435,-1724.8059753396
-4323.2402434948,-4323.2402434947,-4323.2402434947,-4330.5733675508,-4330.5733675511,-4330.5733675506
-1794.3168375488,-1794.3170922793,-1794.3170922801,-1800.1068086496,-1800.1068086494,-1800.1068086485
-1794.3160537848,-1794.3160537911,-1794.3160537812,-1800.1063321640,-1800.1063321641,-1800.1063321632
-1715.4052589495,-1715.4080929928,-1715.4080929939,-1720.9557564920,-1720.9557564920,-1720.9557564918
-1719.2892247409,-1719.2892247404,-1719.2892247409,-1724.8052073391,-1724.8052073374,-1724.8052073379
-1719.2761866991,-1719.2900375961,-1719.2900375959,-1724.8060110735,-1724.8060380984,-1724.8060381345
-1719.2760999944,-1719.2899937576,-1719.2899937575,-1724.8060209582,-1724.8060209591,-1724.8060209570
-1783.4184026981,-1783.4184026979,-1783.4184026965,-1788.7735584849,-1788.7735584901,-1788.7735584890
-4726.9816537010,-4726.9816537009,-4726.9816537008,-4733.2005937528,-4733.2005937524,-4733.2005937525
-4854.7902694509,-4854.7902694513,-4854.7902694497,-4861.5990067930,-4861.5990067928,-4861.5990067925
-4577.0641477677,-4577.0641477683,-4577.0641477678,-4582.5442831406,-4582.5442831398,-4582.5442831400
-17201.0901072376,-17201.0901072376,-17201.0901072376,-17213.5702604574,-17213.5702604579,-17213.5702604567
-6149.8487479902,-6149.8487479904,-6149.8487479880,-6157.9239303281,-6157.9239303283,-6157.9239303266
-17811.8686802271,-17811.8686802270,-17811.8686802193,-17820.8929256648,-17820.8929256647,-17820.8929256625
-6829.0554901435,-6829.0556901586,-6829.0556901573,-6836.3131250077,-6836.3132958361,-6836.3132958360
-4854.7902927894,-4854.7902927895,-4854.7902927893,-4861.5991019394,-4861.5991019089,-4861.5991019391
-6165.8665398350,-6165.8665398439,-6165.8665398427,-6173.9793722688,-6173.9793722664,-6173.9793722684
-20965.6567130108,-20965.6567130111,-20965.6567130109,-20977.4131761267,-20977.4131761268,-20977.4131761265
-17889.9852457079,-17889.9852457068,-17889.9852457076,-17899.5727030836,-17899.5727030840,-17899.5727030837
-4854.7903548281,-4854.7903548279,-4854.7903548280,-4861.5991122058,-4861.5991122050,-4861.5991122056
-7427.7284152550,-7427.7284152551,-7427.7284152550,-7436.9042443006,-7436.9042443002,-7436.9042443007
-17850.9291037262,-17850.9291887913,-17850.9291887851,-17860.2344987054,-17860.2344987055,-17860.2344987052
-17186.6259662659,-17186.6259662660,-17186.6259662659,-17196.8298869323,-17196.8298869323,-17196.8298869321
-17889.9861675119,-17889.9861675120,-17889.9861675089,-17899.5694830885,-17899.5694830889,-17899.5694830879
-16872.4144350323,-16872.4144350324,-16872.4144350322,-16882.1021919818,-16882.1021919817,-16882.1021919801
-4738.6951447097,-4738.6951447100,-4738.6951447035,-4744.7251500572,-4744.7251500525,-4744.7251500561
-17849.7365658876,-17849.7365659620,-17849.7365844157,-17858.9963672662,-17858.9963672721,-17858.9963672677
-4854.7674108691,-4854.7674108696,-4854.7674108696,-4861.5966602141,-4861.5966602135,-4861.5966602128
-18002.4896038378,-18002.4896038389,-18002.4896038389,-18012.7418019351,-18012.7418019353,-18012.7418019345
-1875.2393777163,-1875.2393777188,-1875.2393777183,-1880.7265086850,-1880.7265086876,-1880.7265086869
-19611.0020635734,-19611.0020635649,-19611.0020635730,-19622.4442826131,-19622.4442826132,-19622.4442826128
-18056.3240426633,-18056.3240426633,-18056.3240426632,-18066.2940927555,-18066.2940927548,-18066.2940927554
-1875.2334010711,-1875.2394735798,-1875.2394735806,-1880.7265117628,-1880.7265117625,-1880.7265117624
-1875.2340496064,-1875.2400479306,-1875.2400479340,-1880.7268493567,-1880.7268493559,-1880.7268493539
-1875.2396403381,-1875.2396403387,-1875.2396403375,-1880.7266105950,-1880.7266105955,-1880.7266104713
-18800.5877413301,-18800.5877413314,-18800.5877413310,-18810.8611407923,-18810.8611407924,-18810.8611407924
-1875.2395397922,-1875.2395397923,-1875.2395397850,-1880.7265250956,-1880.7265250950,-1880.7265250634
-27389.7074600079,-27389.7074600078,-27389.7074600075,-27404.5607126776,-27404.5607126774,-27404.5607126774
-22368.0737884541,-22368.0744063212,-22368.0744063265,-22380.2475523761,-22380.2475523844,-22380.2475523830
-1884.3853618131,-1884.4064643824,-1884.4064643801,-1889.2441610935,-1889.2524516908,-1889.2524516840
