HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
80,88,86,49,44,44
24,55,45,38,38,36
311,147,138,196,86,82
104,114,108,78,79,62
56,59,47,31,31,29
56,41,35,28,28,27
40,69,59,81,71,54
52,69,60,60,99,76
58,57,50,81,61,53
36,32,30,399,50,50
111,98,70,63,65,52
90,88,63,46,48,45
57,90,60,70,74,66
56,102,72,123,51,60
63,72,62,75,78,66
94,66,68,64,58,55
64,65,59,31,41,31
67,82,56,79,100,63
50,79,75,72,78,71
66,83,67,64,50,48
32,63,59,27,29,25
91,78,73,58,60,58
61,72,58,87,76,59
67,68,56,97,96,89
44,83,61,100,127,65
56,74,62,399,77,63
38,38,36,68,58,54
65,88,67,56,56,53
82,87,70,53,52,47
48,50,45,45,47,43
92,65,60,55,114,53
52,83,56,78,93,64
50,79,58,86,83,54
66,57,57,42,46,42
48,42,38,33,33,32
43,44,37,63,52,53
44,48,41,33,32,35
27,29,28,29,30,29
100,93,85,44,43,38
81,75,54,35,35,36
25,103,68,32,88,55
47,45,39,50,46,48
66,75,61,43,41,40
29,34,30,29,30,29
52,59,47,38,38,36
40,41,39,56,50,50
33,35,33,104,76,58
97,82,62,36,37,36
38,39,35,53,49,49
66,67,56,36,40,36
49,53,46,38,39,35
29,31,27,27,26,25
48,61,112,34,38,35
49,44,39,62,63,55
79,70,70,40,40,38
208,88,70,47,58,59
69,58,53,52,48,44
39,38,35,30,31,29
96,89,74,52,52,51
53,90,75,54,57,56
85,79,78,49,53,42
45,46,40,32,34,34
98,81,73,49,62,58
47,49,41,40,39,38
53,122,78,28,30,31
35,102,73,39,86,64
37,37,35,51,49,45
83,87,70,84,76,64
56,108,98,41,44,42
35,33,31,32,31,31
71,89,77,54,52,48
38,42,36,30,31,26
49,49,43,41,38,37
30,32,30,27,27,27
45,42,39,35,34,34
67,51,45,52,47,47
41,42,36,36,37,37
40,53,33,27,26,27
40,41,36,38,41,36
86,120,109,52,46,36
111,60,53,49,64,53
223,122,123,35,37,35
103,60,41,34,29,36
40,38,33,41,40,38
49,88,79,59,61,42
76,93,84,42,43,39
117,92,105,45,47,44
68,107,91,99,48,42
37,35,33,34,35,37
38,38,34,48,44,44
169,159,132,45,41,38
97,116,118,40,41,38
50,47,43,34,36,33
37,39,33,37,41,35
34,40,30,91,71,78
62,68,52,45,43,40
38,43,37,31,34,31
51,69,60,49,41,39
69,87,74,51,48,47
58,44,39,40,39,37
66,43,42,98,51,50
28,30,26,79,78,65
343,129,92,71,66,60
36,38,36,44,50,44
33,33,30,70,141,113
39,41,42,36,38,35
56,55,50,52,52,49
54,91,72,74,91,55
44,46,39,41,38,37
42,112,65,30,34,35
76,83,63,64,52,45
95,65,54,73,66,51
85,52,45,32,33,31
31,33,33,100,77,71
65,74,56,47,45,43
54,58,50,30,32,29
40,43,36,37,36,34
58,56,50,35,38,36
141,84,71,56,59,56
57,93,80,70,71,55
114,112,121,126,119,88
42,57,48,28,30,26
40,93,72,45,41,40
33,33,31,27,30,28
97,84,97,154,126,76
27,61,44,57,56,41
66,78,73,43,42,40
35,35,33,32,34,32
53,67,50,42,43,40
70,75,62,80,70,55
75,62,54,45,42,39
45,42,37,30,29,28
56,42,40,35,36,35
87,83,88,39,41,37
32,35,32,33,33,34
36,37,35,32,33,29
86,73,69,169,150,114
26,28,26,30,32,28
40,41,38,31,29,29
39,37,35,40,40,36
128,70,55,34,34,34
50,49,46,43,45,43
62,52,48,66,65,59
119,96,108,74,78,53
58,100,73,50,58,48
50,43,40,38,39,36
42,43,38,32,38,37
56,53,49,220,109,81
93,92,77,35,35,33
107,99,108,57,50,46
24,25,24,26,28,26
38,42,36,43,39,41
72,57,61,79,83,67
68,70,71,40,36,35
62,91,82,32,38,31
40,39,37,39,37,37
38,39,37,75,105,47
30,36,32,43,60,49
63,83,51,28,33,29
48,54,46,96,71,63
63,74,57,196,99,77
96,84,81,57,65,48
35,45,39,164,90,59
99,47,40,44,38,38
98,159,132,44,40,43
45,44,43,38,39,35
100,57,49,61,44,43
43,37,35,39,38,35
30,78,52,43,87,58
45,79,67,65,76,47
35,40,35,36,38,35
50,50,49,74,52,45
95,104,84,118,81,78
93,84,72,171,139,84
54,59,51,36,37,34
46,48,45,33,34,32
41,38,36,31,32,32
42,43,41,58,94,81
66,59,54,83,45,41
56,83,64,28,32,29
399,60,60,80,88,78
59,57,50,54,52,46
55,59,55,58,54,46
28,33,28,26,27,49
61,69,58,62,45,24
30,34,29,34,30,43
53,55,49,42,40,32
57,86,72,54,55,38
93,73,73,45,39,53
27,32,28,29,30,38
79,82,70,51,53,28
60,64,51,138,113,50
90,84,84,48,42,77
38,43,38,52,47,39
43,45,39,34,33,45
103,65,71,74,52,34
126,96,99,80,61,51
70,57,53,79,64,58
57,39,38,36,35,59
37,44,39,41,62,33
51,68,58,34,35,48
49,100,94,37,75,32
28,32,28,28,29,49
80,73,62,49,46,28
117,102,92,67,66,49
102,79,89,46,47,55
41,43,41,39,38,46
64,57,51,50,48,37
31,34,30,36,39,45
43,43,41,59,52,43
68,56,48,43,43,51
45,44,41,34,36,39
120,96,99,49,49,34
92,85,82,78,67,48
53,79,71,36,37,66
53,53,49,99,90,34
50,57,50,36,35,58
35,37,35,43,44,34
57,64,50,109,79,40
36,41,36,37,40,62
83,93,78,52,46,40
62,79,65,36,37,44
105,83,95,126,101,34
48,45,43,108,160,96
55,49,47,34,37,97
55,53,51,31,40,34
58,72,57,36,34,41
69,41,37,37,40,30
105,118,91,69,77,38
39,43,37,62,57,66
65,78,68,51,48,50
64,106,85,52,121,45
31,34,31,28,29,83
56,57,51,41,43,27
30,30,29,70,59,40
39,38,36,26,29,60
42,41,36,38,35,26
40,42,36,66,58,34
53,45,42,37,38,56
43,41,38,25,29,35
106,111,101,123,81,26
39,41,38,27,28,75
42,41,38,32,33,26
59,64,65,49,49,31
41,41,40,51,54,47
76,145,124,40,42,48
53,54,50,41,42,40
62,75,69,53,50,41
29,30,27,29,32,47
91,74,70,66,48,28
118,103,111,41,38,46
41,41,38,32,32,36
37,41,36,102,67,35
108,84,89,59,45,57
59,70,56,35,37,43
60,55,51,107,77,34
45,45,42,44,43,65
97,84,83,35,37,41
121,171,143,47,46,35
73,77,73,91,57,43
41,46,40,51,50,73
88,170,143,45,45,48
45,65,54,43,45,43
36,37,33,40,40,42
59,58,55,32,31,37
48,43,40,89,70,30
399,85,68,40,42,63
60,68,63,64,76,38
73,90,67,84,87,68
57,100,107,56,46,51
84,59,52,67,74,43
217,177,173,53,62,52
105,91,89,87,79,48
36,37,34,34,34,71
52,57,50,77,70,34
