HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
-269.8225850314,-269.8225850314,-269.8225850313,-271.5515299912,-271.5515299911,-271.5515299912
-191.7155798650,-191.7155798649,-191.7155798648,-192.8836815682,-192.8836815682,-192.8836815680
-419.4661818871,-419.4661818907,-419.4661818878,-421.9468522540,-421.9468522399,-421.9468522540
-195.0121886894,-195.0121886897,-195.0121886897,-196.3882156636,-196.3882156638,-196.3882156642
-269.6659170178,-269.6659170179,-269.6659170178,-271.4171062538,-271.4171062535,-271.4171062538
-194.9275613562,-194.9275613562,-194.9275613561,-196.2981171722,-196.2981171723,-196.2981171722
-232.7344856245,-232.7344856248,-232.7344856248,-234.3561205912,-234.3561205911,-234.3561205912
-348.9515978991,-348.9515978992,-348.9515978991,-351.2881700858,-351.2881700857,-351.2881700858
-270.9954507499,-270.9954507503,-270.9954507500,-272.7543352150,-272.7543352154,-272.7543352152
-269.8221629978,-269.8221629978,-269.8221629978,-271.5855454048,-271.5855454048,-271.5855454047
-154.6314108828,-154.6314108842,-154.6314108828,-155.6937913137,-155.6937913163,-155.6937913162
-268.5266588000,-268.5266588000,-268.5266587999,-270.2368471072,-270.2368471072,-270.2368471071
-229.5702665609,-229.5702665612,-229.5702665606,-231.0171598559,-231.0171598559,-231.0171598555
-230.7187929531,-230.7187929533,-230.7187929532,-232.1959822217,-232.1959822218,-232.1959822217
-231.8505062240,-231.8505062245,-231.8505062244,-233.3476575396,-233.3476575395,-233.3476575329
-230.7913542481,-230.7913542489,-230.7913542483,-232.2743997928,-232.2743997928,-232.2743997927
-344.7163492917,-344.7163492916,-344.7163492917,-346.7929421753,-346.7929421753,-346.7929421748
-269.8632987730,-269.8632987737,-269.8632987739,-271.5909682913,-271.5909682913,-271.5909682913
-383.7485902369,-383.7485902369,-383.7485902368,-386.1196386573,-386.1196386573,-386.1196386573
-310.0318864625,-310.0318864627,-310.0318864626,-312.0732236888,-312.0732236888,-312.0732236889
-309.9324871019,-309.9324871019,-309.9324871019,-311.9895688449,-311.9895688448,-311.9895688448
-348.9544745009,-348.9544745014,-348.9544745014,-351.2894358437,-351.2894358436,-351.2894358437
-194.8136527261,-194.8136527261,-194.8136527261,-196.2276651493,-196.2276651493,-196.2276651491
-380.4718240123,-380.4718240121,-380.4718240107,-382.6628046324,-382.6628046323,-382.6628046319
-269.7833331733,-269.7833331735,-269.7833331733,-271.5155375679,-271.5155375679,-271.5155375679
-347.8712793390,-347.8712793391,-347.8712793390,-350.1681484541,-350.1681484520,-350.1681484541
-309.9087174584,-309.9087174584,-309.9087174584,-311.9667262761,-311.9667262761,-311.9667262761
-348.9428941469,-348.9428941467,-348.9428941466,-351.2819181006,-351.2819181006,-351.2819181003
-272.9284120440,-272.9284120440,-272.9284120440,-274.8726982911,-274.8726982910,-274.8726982911
-344.6205888042,-344.6205888049,-344.6205888043,-346.7276882874,-346.7276882871,-346.7276882876
-349.0533953895,-349.0533953895,-349.0533953894,-351.3713653655,-351.3713653655,-351.3713653654
-383.7623765824,-383.7623765824,-383.7623765824,-386.1382981773,-386.1382981778,-386.1382981775
-380.4328433595,-380.4328433597,-380.4328433597,-382.6290690612,-382.6290690614,-382.6290690609
-308.8010934330,-308.8024419862,-308.8024419863,-310.8075426264,-310.8075426264,-310.8075426261
-190.5503005404,-190.5503005403,-190.5503005403,-191.6905128195,-191.6905128195,-191.6905128192
-266.6366185049,-266.6366185048,-266.6366185049,-268.2022457098,-268.2022457097,-268.2022457085
-348.9750275248,-348.9750275250,-348.9750275249,-351.3103225405,-351.3103225360,-351.3103225405
-155.9761245347,-155.9761245347,-155.9761245346,-157.0576966247,-157.0576966247,-157.0576966248
-344.6112238551,-344.6112238550,-344.6112238550,-346.6983679072,-346.6983679075,-346.6983679067
-194.8812317261,-194.8812317260,-194.8812317260,-196.2532544052,-196.2532544052,-196.2532544052
-383.6167287033,-383.6167287034,-383.6167287032,-385.9951703860,-385.9951703860,-385.9951703858
-349.0626182595,-349.0626182596,-349.0626182596,-351.4075492172,-351.4075492172,-351.4075492166
-268.5579631960,-268.5579631962,-268.5579631961,-270.2625020986,-270.2625020986,-270.2625020983
-270.9870924616,-270.9870924621,-270.9870924621,-272.7728213598,-272.7728213609,-272.7728213606
-383.7765659381,-383.7765659381,-383.7765659381,-386.1534359795,-386.1534359798,-386.1534359800
-191.7287154744,-191.7287154744,-191.7287154744,-192.8898356333,-192.8898356333,-192.8898356330
-233.9233668658,-233.9233668663,-233.9233668662,-235.5976378026,-235.5976378023,-235.5976378026
-344.6899532266,-344.6899532265,-344.6899532265,-346.7917677402,-346.7917677403,-346.7917677400
-419.5062583568,-419.5062583569,-419.5062583568,-422.0045803523,-422.0045803538,-422.0045803534
-312.0615738468,-312.0615738468,-312.0615738468,-314.2633542003,-314.2633542003,-314.2633542003
