HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
21,22,21,21,21,21
30,31,28,25,25,25
24,29,24,24,22,24
18,19,19,17,17,17
19,20,19,18,18,18
20,22,20,19,19,19
21,23,22,19,19,19
20,21,20,20,20,20
19,23,19,18,19,18
27,28,27,22,23,22
21,25,21,17,19,19
24,25,23,21,22,20
33,35,30,23,24,23
24,25,24,21,22,20
19,21,20,18,18,17
30,34,29,23,27,22
22,22,22,22,23,21
20,21,21,22,22,22
22,25,22,21,22,21
19,20,19,19,19,19
20,20,20,20,20,19
21,22,21,20,20,20
26,28,26,20,21,20
78,60,52,33,33,31
19,23,19,20,20,20
26,28,25,25,24,25
21,22,21,21,21,20
21,21,20,19,19,18
21,23,22,19,19,19
24,29,24,26,26,27
22,25,22,21,21,19
22,23,22,22,24,22
36,38,34,28,29,28
45,43,41,28,28,28
47,34,32,24,26,23
28,30,28,26,26,25
20,21,20,20,18,20
18,19,18,15,15,16
36,38,34,28,30,28
20,21,20,18,18,18
66,39,35,31,32,30
25,27,25,22,23,21
24,25,23,23,24,22
25,27,25,21,23,22
22,23,22,20,21,21
21,22,21,19,19,18
19,21,20,17,17,17
26,27,25,24,28,23
40,41,37,30,32,31
21,22,21,17,17,17
25,26,25,19,20,19
22,23,22,21,21,20
22,22,22,22,21,21
22,26,22,19,19,19
27,31,27,23,24,22
20,21,20,21,21,20
22,23,22,20,20,20
19,19,19,19,18,19
27,29,27,24,27,26
21,22,21,18,18,19
24,24,23,21,22,20
22,22,21,19,19,20
22,23,22,19,19,19
20,21,20,18,18,19
26,28,27,24,26,23
18,19,18,15,15,16
20,20,20,17,17,17
27,30,27,22,23,22
25,30,24,21,21,21
25,26,24,27,27,25
29,32,27,24,25,23
20,24,21,20,20,19
25,26,25,21,22,20
21,22,21,22,22,21
19,20,19,17,17,17
22,23,23,21,19,20
23,25,23,19,19,18
55,51,41,27,29,27
31,32,29,26,26,25
