HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
-269.7358407525,-269.7358407528,-269.7358407523,-271.5032283124,-271.5032283124,-271.5032283114
-191.8481789391,-191.8481789392,-191.8481789391,-192.9922194168,-192.9922194165,-192.9922194167
-419.5465989133,-419.5465989135,-419.5465989133,-421.9936114379,-421.9936114381,-421.9936114379
-195.0183375275,-195.0183375275,-195.0183375275,-196.3641966935,-196.3641966935,-196.3641966935
-269.8622938220,-269.8622938222,-269.8622938221,-271.5707813746,-271.5707813744,-271.5707813759
-195.0631892344,-195.0631892344,-195.0631892345,-196.4032025240,-196.4032025240,-196.4032025240
-232.9471969914,-232.9471969915,-232.9471969915,-234.5265909286,-234.5265909286,-234.5265909286
-348.9735944625,-348.9735944625,-348.9735944624,-351.3298423811,-351.3298423811,-351.3298423803
-270.9539935137,-270.9539935137,-270.9539935137,-272.7261031782,-272.7261031782,-272.7261031780
-269.9325064113,-269.9325064130,-269.9325064126,-271.6455178475,-271.6455178474,-271.6455178474
-154.7975798240,-154.8146874774,-154.8146874773,-155.8540365553,-155.8540365551,-155.8540365553
-268.7504706576,-268.7504706579,-268.7504706578,-270.4179831988,-270.4179831989,-270.4179831990
-229.6696455366,-229.6696455366,-229.6696455365,-231.0746198924,-231.0746198924,-231.0746198923
-230.7003059301,-230.7003059301,-230.7003059300,-232.1851979713,-232.1851979713,-232.1851979712
-231.9194732226,-231.9194732225,-231.9194732226,-233.4098167423,-233.4098167424,-233.4098167419
-230.8953729691,-230.8953729691,-230.8953729690,-232.3315373271,-232.3315373278,-232.3315373274
-344.7668844552,-344.7668844554,-344.7668844551,-346.8365506364,-346.8365506364,-346.8365506359
-269.9285176533,-269.9285176533,-269.9285176533,-271.6349604855,-271.6349604855,-271.6349604855
-383.8096793322,-383.8096793323,-383.8096793324,-386.1539492974,-386.1539492973,-386.1539492975
-309.9905931442,-309.9905931442,-309.9905931442,-312.0372623129,-312.0372623129,-312.0372623124
-309.9896938925,-309.9896938926,-309.9896938924,-312.0391723567,-312.0391723561,-312.0391723560
-348.9573233876,-348.9573233876,-348.9573233875,-351.3199166820,-351.3199166820,-351.3199166816
-194.8104701201,-194.8104701202,-194.8104701198,-196.2318634974,-196.2318634973,-196.2318634961
-380.5180043358,-380.5180043360,-380.5180043358,-382.6879977541,-382.6879977614,-382.6879977610
-269.9296154043,-269.9296154044,-269.9296154043,-271.6434206259,-271.6434206260,-271.6434206258
-348.0042395570,-348.0042395597,-348.0042395594,-350.2706662715,-350.2706662712,-350.2706662714
-309.9335351881,-309.9335351881,-309.9335351879,-312.0130169639,-312.0130169639,-312.0130169636
-348.9735560854,-348.9735560855,-348.9735560854,-351.3298091257,-351.3298091258,-351.3298091251
-272.8826126063,-272.8826126063,-272.8826126060,-274.8584519721,-274.8584519725,-274.8584519714
-344.5776836584,-344.5776836608,-344.5776836605,-346.7192423523,-346.7192423523,-346.7192423519
-348.9774040641,-348.9774040641,-348.9774040639,-351.3359128586,-351.3359128586,-351.3359128584
-383.8044841101,-383.8044841102,-383.8044841101,-386.1532783473,-386.1532783472,-386.1532783470
-380.5180007190,-380.5180007190,-380.5180007188,-382.6880021282,-382.6880021287,-382.6880021283
-308.9667372335,-308.9667372335,-308.9667372335,-310.9576297836,-310.9576297908,-310.9576297908
-190.6922509404,-190.6922509408,-190.6922509406,-191.8077001563,-191.8077001564,-191.8077001562
-266.6853954975,-266.6853954977,-266.6853954976,-268.1991426435,-268.1991426432,-268.1991426434
-348.9774853050,-348.9774853051,-348.9774853050,-351.3339463518,-351.3339463480,-351.3339463516
-155.7495293240,-155.7534835470,-155.7534873471,-156.8971552036,-156.8971552035,-156.8971552027
-344.7547611007,-344.7547611009,-344.7547611008,-346.8204591582,-346.8204591582,-346.8204591581
-194.8043772519,-194.8102779327,-194.8102779326,-196.2318417053,-196.2318417063,-196.2318417049
-383.8022038432,-383.8022038434,-383.8022038435,-386.1499061549,-386.1499061550,-386.1499061550
-348.9720308604,-348.9720308607,-348.9720308597,-351.3325506387,-351.3325506386,-351.3325506379
-268.7097976271,-268.7097976271,-268.7097976271,-270.3903394243,-270.3903394243,-270.3903394243
-270.8972977890,-270.8972977891,-270.8972977890,-272.7014158309,-272.7014158347,-272.7014158344
-383.7934360280,-383.7934360281,-383.7934360281,-386.1383524721,-386.1383524722,-386.1383524721
-191.6650374223,-191.6650374225,-191.6650374224,-192.8661693905,-192.8661693904,-192.8661693904
-233.8362041269,-233.8500187827,-233.8500187827,-235.5686819768,-235.5687622874,-235.5687622898
-344.7669121479,-344.7669121479,-344.7669121479,-346.8365684278,-346.8365684282,-346.8365684273
-419.5532769304,-419.5532769372,-419.5532769370,-422.0048416485,-422.0048416485,-422.0048416482
-312.1699172554,-312.1699172555,-312.1699172554,-314.3413787805,-314.3413787805,-314.3413787806
-194.8042294958,-194.8081168781,-194.8081168774,-196.2317740442,-196.2317740444,-196.2317740297
-348.9682715895,-348.9682715937,-348.9682715925,-351.3284960978,-351.3284960978,-351.3284960975
-344.7741184773,-344.7741184777,-344.7741184777,-346.8411626662,-346.8411626661,-346.8411626662
-193.8564376788,-193.8564376790,-193.8564376789,-195.1650141147,-195.1650141146,-195.1650141146
-348.9713851962,-348.9713851961,-348.9713851960,-351.3305214250,-351.3305214251,-351.3305214248
-349.0252911290,-349.0252911294,-349.0252911293,-351.3521065596,-351.3521065595,-351.3521065593
-305.7225059815,-305.7225059815,-305.7225059814,-307.5130302785,-307.5130302785,-307.5130302784
-309.9371043459,-309.9371043459,-309.9371043459,-312.0163466136,-312.0163466138,-312.0163466132
-380.5189484194,-380.5189484194,-380.5189484194,-382.6887784527,-382.6887784527,-382.6887784525
-191.6650374795,-191.6650374798,-191.6650374797,-192.8661694369,-192.8661694368,-192.8661694368
-229.7099023069,-229.7099023074,-229.7099023073,-231.0938275912,-231.0938275912,-231.0938275912
-269.7358674159,-269.7358674192,-269.7358674191,-271.5032713864,-271.5032713864,-271.5032713854
-154.7800469735,-154.7800469743,-154.7800469741,-155.8111384362,-155.8111384362,-155.8111384362
-268.7097862383,-268.7097862383,-268.7097862383,-270.3903293399,-270.3903293399,-270.3903293399
-230.8953540506,-230.8953540505,-230.8953540506,-232.3319063916,-232.3319063911,-232.3319063914
-155.7495291897,-155.7534845193,-155.7534845174,-156.8971552125,-156.8971552123,-156.8971552116
-155.7535155401,-155.7535155394,-155.7535155351,-156.8971767368,-156.8971767368,-156.8971767366
-348.9735986640,-348.9735986641,-348.9735986640,-351.3298319383,-351.3298319383,-351.3298319376
-311.9232568669,-311.9232568673,-311.9232568672,-314.1816560941,-314.1816560940,-314.1816560934
-344.7668999403,-344.7668999402,-344.7668999402,-346.8365602978,-346.8365602978,-346.8365602974
-348.9691976539,-348.9691976552,-348.9691976539,-351.3302025241,-351.3302025242,-351.3302025240
-154.7975406279,-154.8146684763,-154.8146684762,-155.8540064039,-155.8540064037,-155.8540064039
-270.9551442764,-270.9551442763,-270.9551442765,-272.7228078142,-272.7228078141,-272.7228078137
-348.9714382723,-348.9714382723,-348.9714382722,-351.3305512170,-351.3305511315,-351.3305512177
-195.0200034399,-195.0200034399,-195.0200034399,-196.3697660048,-196.3697660048,-196.3697660048
-305.7285832505,-305.7285832503,-305.7285832505,-307.5221756426,-307.5221756426,-307.5221756422
-273.0910984610,-273.0910984611,-273.0910984610,-274.9920169166,-274.9920169167,-274.9920169167
-268.7097991195,-268.7097991196,-268.7097991195,-270.3903440272,-270.3903440272,-270.3903440271
-344.7669049078,-344.7669049080,-344.7669049076,-346.8365653047,-346.8365653046,-346.8365653041
-229.6696464227,-229.6696464227,-229.6696464226,-231.0746177544,-231.0746177544,-231.0746177543
-305.7297244182,-305.7297244180,-305.7297244182,-307.5223731194,-307.5223731190,-307.5223731193
-309.9357586779,-309.9357586786,-309.9357586775,-312.0178172330,-312.0178172331,-312.0178172328
-309.9227159584,-309.9227159584,-309.9227159581,-312.0113485711,-312.0113485749,-312.0113485744
-233.8362338560,-233.8500221968,-233.8500221971,-235.5687625355,-235.5687625353,-235.5687625355
-232.8942930842,-232.8942930842,-232.8942930842,-234.4804563631,-234.4804563631,-234.4804563631
-229.6696621965,-229.6696621965,-229.6696621964,-231.0746298218,-231.0746298218,-231.0746298217
-348.9773973399,-348.9773973399,-348.9773973397,-351.3359085038,-351.3359085038,-351.3359085036
-154.7800477335,-154.7800477343,-154.7800477341,-155.8111389644,-155.8111389644,-155.8111389644
-233.8362042758,-233.8500034098,-233.8499972450,-235.5687272152,-235.5687272153,-235.5687272147
-190.5918352184,-190.5918352186,-190.5918352185,-191.7200107031,-191.7200107032,-191.7200107030
-155.7495271014,-155.7534847925,-155.7534840127,-156.8971470343,-156.8971470330,-156.8971470343
-270.9016475526,-270.9016475534,-270.9016475532,-272.7037228186,-272.7037228186,-272.7037228185
