HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
31,33,31,26,26,25
19,20,19,19,18,18
32,35,31,29,33,29
20,20,19,17,17,18
20,21,20,20,20,21
18,18,18,17,17,17
19,20,19,16,16,16
25,27,25,27,27,25
25,27,25,24,24,23
23,27,23,21,21,21
21,44,46,19,19,19
20,22,21,19,19,19
22,22,21,21,22,21
24,25,23,22,22,21
25,26,24,22,22,22
23,24,22,20,22,20
26,27,24,23,23,22
19,19,19,22,24,22
19,20,20,19,19,19
25,29,25,26,26,26
25,29,24,26,24,24
37,38,34,29,29,27
73,49,50,29,29,28
33,37,32,25,28,27
24,28,24,20,21,19
23,28,24,23,23,22
36,39,35,30,30,30
25,27,25,26,26,25
33,38,32,30,30,29
35,37,32,34,37,34
32,33,31,28,29,27
26,29,26,25,25,24
32,34,30,27,28,27
25,26,24,19,21,20
24,25,24,22,22,22
25,30,25,23,22,21
26,28,26,24,22,23
36,94,87,28,29,28
20,21,20,23,24,23
81,62,50,31,31,31
27,28,26,25,26,25
33,38,31,29,28,29
22,25,22,21,21,20
37,37,33,23,25,24
27,27,25,24,24,24
21,23,21,21,21,21
248,77,60,31,72,44
25,26,24,23,26,23
29,36,30,25,26,25
19,20,19,17,17,18
53,62,56,30,31,28
59,48,46,34,33,31
19,21,20,19,19,18
19,20,19,17,17,17
29,30,28,25,26,25
23,27,23,25,25,25
26,27,25,24,25,24
26,28,26,23,24,23
32,34,31,28,28,27
21,23,21,21,21,21
19,21,20,16,16,16
31,32,30,26,26,25
18,21,18,17,17,17
21,22,21,21,21,20
23,24,23,21,20,20
37,111,82,30,33,29
112,117,60,40,32,30
25,27,25,27,27,25
69,55,52,43,41,41
25,26,24,23,23,23
30,35,29,27,28,27
21,46,40,19,19,19
24,26,25,24,24,24
28,30,28,24,22,25
20,20,19,16,16,16
26,27,25,23,23,21
19,20,19,19,19,19
22,25,22,21,21,20
26,27,24,23,23,22
22,22,21,21,22,21
22,22,22,21,21,21
30,34,30,26,26,26
32,32,29,25,28,26
137,76,56,35,68,33
19,20,19,18,18,18
22,22,21,21,22,21
32,33,31,28,29,27
18,21,18,17,17,17
20,83,60,34,45,31
23,27,23,19,20,19
37,112,88,31,27,27
25,28,25,24,25,23
22,22,21,21,22,21
26,27,25,31,32,31
26,29,24,23,23,23
26,28,25,25,25,23
53,50,43,45,35,33
28,30,28,24,26,25
33,35,31,30,30,29
19,20,19,19,19,19
40,41,40,28,31,25
34,37,32,31,32,31
49,48,42,28,29,28
31,35,29,27,27,26
25,26,24,24,24,25
25,27,25,26,26,25
26,28,25,26,26,26
25,27,24,23,23,23
24,27,24,27,28,26
19,20,19,17,17,17
27,28,25,24,25,24
160,82,57,33,40,31
120,74,63,33,39,32
24,26,24,22,21,21
25,27,25,26,26,25
25,26,25,23,23,22
20,21,21,24,22,21
18,19,18,16,16,16
26,29,24,23,23,22
19,20,19,19,18,18
19,20,19,17,17,17
38,124,88,28,35,29
20,20,19,19,19,19
30,34,30,26,26,26
19,20,19,21,21,21
30,34,29,27,27,26
26,29,26,25,25,24
23,23,22,20,21,20
21,22,21,19,20,19
50,51,45,32,32,34
57,55,43,27,28,27
19,20,19,17,17,17
27,28,25,24,25,24
26,29,26,23,24,23
19,20,19,17,17,17
28,28,25,26,26,24
25,25,23,22,22,21
19,19,18,17,17,18
22,26,22,22,22,22
31,32,30,26,26,25
22,25,22,21,21,20
30,34,29,31,28,30
19,20,19,17,17,17
28,28,25,26,26,24
23,24,22,20,22,20
36,32,30,24,25,23
37,38,33,25,26,24
31,33,31,26,26,25
29,28,26,22,22,22
60,99,70,30,40,30
27,29,26,24,25,24
31,34,31,25,23,23
26,27,25,23,24,22
28,29,27,25,29,25
34,71,63,29,30,30
129,78,56,35,65,32
20,20,19,17,17,17
24,25,24,22,22,22
30,34,30,32,32,30
21,22,21,21,21,20
31,37,32,28,28,28
25,26,24,23,23,22
22,23,22,19,20,19
19,20,19,17,17,17
37,37,33,25,26,24
40,41,37,31,31,29
24,29,24,24,24,25
23,27,23,25,25,25
24,25,23,22,22,21
33,34,30,24,23,23
26,29,26,20,24,23
24,28,23,23,24,23
24,25,23,22,22,21
25,26,24,23,24,22
34,37,32,31,32,31
19,20,19,17,17,17
20,20,20,16,16,17
20,20,19,17,17,17
213,75,57,34,66,33
21,23,21,21,21,21
24,25,23,22,22,21
31,32,32,34,32,31
32,33,31,28,29,27
34,36,33,31,32,31
23,25,23,21,21,19
52,54,46,33,32,35
25,27,25,24,24,23
28,32,27,26,23,25
29,31,27,26,26,25
21,23,21,21,21,21
26,28,25,26,26,26
25,27,25,26,26,25
296,78,67,40,70,33
23,27,23,25,25,25
23,27,23,20,20,19
58,54,45,29,32,34
27,28,26,25,25,24
29,33,29,31,32,31
31,36,31,27,27,25
22,25,21,20,21,19
30,36,30,24,24,24
25,27,25,24,24,23
21,22,22,21,21,20
29,28,25,26,27,30
25,26,25,24,24,24
21,24,20,20,22,21
24,25,23,23,23,23
37,37,33,25,26,24
26,27,25,22,23,21
26,27,24,23,23,22
34,34,31,29,31,29
25,27,25,26,26,25
25,25,23,22,22,21
23,27,23,22,22,21
